property_name,room_id,booking_window,stay_duration_in_days,lat,beds,bedroom,bathroom,parking,pool,beachfront,lng,average_daily_rate
Bingin Ombak,431874,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Bingin Ombak,431875,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Bingin Ombak,396658,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Bingin Ombak,396427,81,4,-8.805646,1,1,2,0,0,1,115.113378,1477799.4925
Bingin Ombak,395971,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Bingin Ombak,394909,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Bingin Ombak,394908,81,4,-8.805646,1,1,1,0,0,1,115.113378,1477799.4925
Double A Guest,443595,1,4,-8.650003,1,1,1,1,1,0,115.133906,430093.4725
Double A Guest,442496,1,4,-8.650003,1,1,1,1,1,0,115.133906,430093.4725
Double A Guest,399290,1,4,-8.650003,1,1,1,1,1,0,115.133906,430093.4725
Double A Guest,397674,1,4,-8.650003,1,1,1,1,1,0,115.133906,430093.4725
ME Villa Batu Mejan,431114,1,4,-8.652147,2,2,2,1,1,0,115.132308,977838.8775
ME Villa Batu Mejan,399295,1,4,-8.652147,2,2,2,1,1,0,115.132308,977838.8775
ME Villa Batu Mejan,398520,1,4,-8.652147,1,1,1,1,1,0,115.132308,977838.8775
Kembang Kuning,394915,50,4,-8.8063269,1,1,1,0,1,0,115.11306,792159.1225
Kembang Kuning,394914,50,4,-8.8063269,1,1,1,1,1,1,115.11306,792159.1225
Kembang Kuning,420950,50,4,-8.8063269,1,1,1,1,1,1,115.11306,792159.1225
Kembang Kuning,420951,50,4,-8.8063269,1,1,1,1,1,1,115.11306,792159.1225
Kembang Kuning,394913,50,4,-8.8063269,1,1,1,1,1,0,115.11306,792159.1225
Kembang Kuning,397165,50,4,-8.8063269,1,1,1,1,1,1,115.11306,792159.1225
The Gong,406732,1,3,-8.821746,1,1,1,1,1,0,115.089633,392731.903333
The Gong,397971,1,3,-8.821746,1,1,1,1,1,0,115.089633,392731.903333
